[3/18] arch1_3conv_narrow__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 77,877
resnet50] epoch 11 | train_loss 3.24276 | train_acc 0.2902 | val_loss 2.44644 | val_acc 0.2989 | enc_lr 1.59e-04 | cls_lr 7.94e-04
resnet50] epoch 12 | train_loss 3.19866 | train_acc 0.2962 | val_loss 2.46223 | val_acc 0.3071 | enc_lr 1.52e-04 | cls_lr 7.61e-04
resnet50] epoch 13 | train_loss 3.19077 | train_acc 0.2965 | val_loss 2.51766 | val_acc 0.2745 | enc_lr 1.46e-04 | cls_lr 7.27e-04
resnet50] epoch 14 | train_loss 3.17658 | train_acc 0.3137 | val_loss 2.41760 | val_acc 0.2935 | enc_lr 1.39e-04 | cls_lr 6.92e-04
resnet50] epoch 15 | train_loss 3.14471 | train_acc 0.3167 | val_loss 2.33841 | val_acc 0.3098 | enc_lr 1.31e-04 | cls_lr 6.55e-04
resnet50] epoch 16 | train_loss 3.10575 | train_acc 0.3270 | val_loss 2.43683 | val_acc 0.3179 | enc_lr 1.24e-04 | cls_lr 6.17e-04
resnet50] epoch 17 | train_loss 3.10495 | train_acc 0.3140 | val_loss 2.27858 | val_acc 0.3587 | enc_lr 1.16e-04 | cls_lr 5.79e-04
resnet50] epoch 18 | train_loss 3.05818 | train_acc 0.3294 | val_loss 2.25467 | val_acc 0.3614 | enc_lr 1.08e-04 | cls_lr 5.40e-04
resnet50] epoch 19 | train_loss 3.03425 | train_acc 0.3514 | val_loss 2.25729 | val_acc 0.3614 | enc_lr 1.01e-04 | cls_lr 5.00e-04
resnet50] epoch 20 | train_loss 3.01897 | train_acc 0.3578 | val_loss 2.27060 | val_acc 0.3451 | enc_lr 9.27e-05 | cls_lr 4.61e-04
resnet50] epoch 21 | train_loss 2.99817 | train_acc 0.3527 | val_loss 2.33272 | val_acc 0.3424 | enc_lr 8.49e-05 | cls_lr 4.22e-04
resnet50] epoch 22 | train_loss 3.02335 | train_acc 0.3427 | val_loss 2.24922 | val_acc 0.3750 | enc_lr 7.73e-05 | cls_lr 3.84e-04
resnet50] epoch 23 | train_loss 2.97379 | train_acc 0.3521 | val_loss 2.27003 | val_acc 0.3370 | enc_lr 6.98e-05 | cls_lr 3.46e-04
resnet50] epoch 24 | train_loss 2.96611 | train_acc 0.3620 | val_loss 2.19771 | val_acc 0.3505 | enc_lr 6.24e-05 | cls_lr 3.09e-04
resnet50] epoch 25 | train_loss 2.93605 | train_acc 0.3750 | val_loss 2.20863 | val_acc 0.3668 | enc_lr 5.53e-05 | cls_lr 2.74e-04
resnet50] epoch 26 | train_loss 2.92005 | train_acc 0.3762 | val_loss 2.28291 | val_acc 0.3342 | enc_lr 4.85e-05 | cls_lr 2.40e-04
resnet50] epoch 27 | train_loss 2.93161 | train_acc 0.3750 | val_loss 2.18050 | val_acc 0.3641 | enc_lr 4.20e-05 | cls_lr 2.07e-04
resnet50] epoch 28 | train_loss 2.91435 | train_acc 0.3759 | val_loss 2.18862 | val_acc 0.3668 | enc_lr 3.59e-05 | cls_lr 1.76e-04
resnet50] epoch 29 | train_loss 2.89482 | train_acc 0.3838 | val_loss 2.16601 | val_acc 0.3723 | enc_lr 3.01e-05 | cls_lr 1.47e-04
resnet50] epoch 30 | train_loss 2.87995 | train_acc 0.3856 | val_loss 2.16856 | val_acc 0.3533 | enc_lr 2.48e-05 | cls_lr 1.21e-04
resnet50] epoch 31 | train_loss 2.87308 | train_acc 0.3801 | val_loss 2.15700 | val_acc 0.3614 | enc_lr 2.00e-05 | cls_lr 9.64e-05
resnet50] epoch 32 | train_loss 2.87839 | train_acc 0.3783 | val_loss 2.14531 | val_acc 0.3859 | enc_lr 1.57e-05 | cls_lr 7.46e-05
